Timestamp,Please enter your worker ID,Please enter verification code from this writing session (session_id),Is English your first language?,"How qualified do you think you are to write about this topic? (based on background knowledge, understanding of prompts, etc.)?","During this writing session, the suggestions you received were grammatically correct, and contributed to the fluency of the essay.","During this writing session, the suggestions helped me come up with new ideas.","During this writing session, I felt like that I would have written a *better* essay if I wrote the essay alone.","During this writing session, the system was competent (having expert knowledge and ability to perform a task successfully) in writing.","During this writing session, the system was capable of writing persuasive essays.","During this writing session, the system understood what I was trying to write.",Which aspects of the suggestions (that you received during this writing session) can be improved? Any specific examples?,It was easy to write with the system.,I am satisfied with the essay I wrote.,I am confident in my ability to write an essay with the help of the system.,I feel like the essay is mine. ,____% of the essay is written by me (and the rest is written by taking the suggestions). [between 0-100%],"If the system is available for free, I would reuse the system.",Any feedback/comment? (optional)
9/2/2021 8:42:31,A2W121DQXNQK1,a07f20a8e58545c78b7b6436c126be7d,Yes,You are absolutely certain about your qualification.,7,7,1,7,7,6,"Towards the end of my essay, as I was concluding my thoughts, the suggestion offered seem more in line with the middle of my essay as I was listing my position on the topic, and offering examples. The suggestions were in the format of examples, ""For example, ..."" which are better suited as I mentioned before the conclusion. In the conclusion, I would prefer to have suggestions that reiterate what I mentioned in the essay, as opposed to mentioning new information or examples.",7,7,7,7,75,7,
9/2/2021 9:30:36,A2W121DQXNQK1,d647f1a5ad614d4eab842e795def2f2e,Yes,You are absolutely certain about your qualification.,7,6,1,7,7,6,"The suggestions offered by the system were not only relevant to the topic and my stance, but did have a tendency to repeat the same points I had already made, only in a slightly reworded format. The system ideally should only give such suggestions when I am concluding the essay, and for other parts offer me ways to expand on my points or bring up new ideas, without repeating too much what I already said.",7,7,7,7,80,7,
9/3/2021 0:14:15,A2W121DQXNQK1,d714bc54e0dc4819bafa77a93927817b,Yes,You are absolutely certain about your qualification.,7,7,1,7,7,6,"After mentioning my position and thoughts on the topic, I received initial suggestions that helped add more to my essay by adding additional points that were relevant to my stance. However, as I continued to write and add more to strengthen my stance, I received some suggestions that were too similar to what I had already written or used when I first received some suggestions. I think future suggestions should avoid being repeats of past suggestions, unless the system detects I am making a conclusion where I bring up past thoughts to conclude the essay.",7,7,7,7,70,7,
9/3/2021 7:08:44,A2W121DQXNQK1,86d3e1410ca24ecfa486a6b3059b2618,Yes,You are absolutely certain about your qualification.,6,7,1,7,7,6,"Some suggestions were in the form of questions, some of which were rhetorical. They were not as easily integrated in my essay, which was primarily intended to inform and not have people consider some questions on their own. In addition, the suggestions were sometimes not in the correct tense as the sentence I had just written, which needed some modification for it to flow better with the overall essay.",7,7,7,7,70,7,
9/3/2021 7:40:34,A2W121DQXNQK1,c13c048160f341e9a45952ef2f364ddb,Yes,You are absolutely certain about your qualification.,7,7,1,7,7,7,"Some suggestions were in the form of a direct question to the viewer, as if I was awaiting a response. This works better in the context of a blog or even social post where I intend to create active discussion. In the context of an argumentative essay, it is impractical as I don't engage with the reader in such a way. Instead, if questions are recommended,  they ought to be rhetorical, (i.e not ""What do you think"") and makes the reader think to themselves to consider while I add more points to my position.",7,7,7,7,75,7,
9/3/2021 8:42:18,A2W121DQXNQK1,6e21e7baba4d414ebc3218a051cce679,Yes,You are absolutely certain about your qualification.,7,7,1,7,7,7,"The only main issue I noted for the suggestions was that some of them mentioned a name, that I had not brought up or mentioned. Given the topic, I think the system should refrain from suggestions that discloses names, as I would want to maintain a sense of anonymity for people I refer to from my own experiences, experiences that are relevant to what I want to argue in regards to the topic.",7,7,7,7,75,7,
9/4/2021 0:14:16,A2W121DQXNQK1,40de050696b84fc0b0150eb8ac1d86b4,Yes,You are absolutely certain about your qualification.,7,7,1,7,7,6,"The only suggestion or type of suggestion I felt was not relevant to my essay was the one that went against what I was trying to say regarding stereotypes. Namely that the suggestions stated I would be okay with stereotypical characters in certain instances, when my stance was against all forms of stereotypes, effectively suggesting content should focus on more realistic depictions of characters. The suggestions the system offers should coincide to the point I making, and not give suggestions that support another stance on the topic.",7,7,7,7,75,7,
9/4/2021 7:33:22,A2W121DQXNQK1,be8c96da7b8e47f8932e674803ee11ff,Yes,You are absolutely certain about your qualification.,7,7,1,7,7,7,"The system provided me suggestions that would be better served in a new paragraph, as I was still writing out my thoughts on a specific point I was trying to make. These suggestions were useful, but better put off for later if I brought up said point. I think the system should save those type suggestions for when I finish up a point and start a new paragraph, and give me more relevant suggestions when I am still on an old paragraph.",7,7,7,7,85,7,
9/4/2021 8:06:47,A2W121DQXNQK1,96550fd2d40e46c1a430fe0c4e67000b,Yes,You are absolutely certain about your qualification.,7,7,1,7,7,7,"I liked that the system offered me good suggestions that helped me write out concluding sentences for my paragraphs, and for the overall essay. I think these types of suggestions are critical to have, and they should be restate what the overall point made for the paragraph or essay, in a way that makes the reader think more about the topic or consider other points that are similar to ones made in the essay.",7,7,7,7,75,7,
9/4/2021 8:45:07,A2W121DQXNQK1,435605f25172470989a458267ecd6ca8,Yes,You are absolutely certain about your qualification.,6,7,1,7,7,5,"Some suggestions used words that were not in line with the sentences that I had written prior, or that changed the flow and tone of the essay. Specifically suggestions that I noted used whom, when other words such as whose was more in line with the other vocabulary I used, and overall felt would be more observed in a more formal essay. In addition, some suggestions mentioned a name, I think if a suggestion were to do so it should either attribute a quote to the person's name, or something that the person claims in an article along with their qualifications (i.e are they an expert?).",7,7,7,7,70,7,
9/5/2021 0:13:25,A2W121DQXNQK1,e402dd8c98eb4f73b051a1268321cf4b,Yes,You are absolutely certain about your qualification.,7,7,7,7,7,7,"Sometimes the system would offer suggestions that were all very similar and alike, only differing slightly. These suggestions were intended to follow up on a previous sentence, and I think the system should offer suggestions that are more varied. I can edit or reword the suggestions to better match my essay, but I would prefer if the suggestions offered different responses to the points I am making instead of suggesting the same response with different wording.",7,7,7,7,75,7,
9/5/2021 7:33:47,A2W121DQXNQK1,ae8434c075224ebdaba8e215723c9bbb,Yes,You are absolutely certain about your qualification.,3,3,1,3,4,2,"At first, the suggestions were offered whenever I asked for some from the system. The suggestion were relevant and made sense to implement into my essay. In the last paragraph, the suggestions were no longer offered, it appears the system could not make any. I believe it was an error or bug, but I think the system would have given suggestions if that error wasn't present. Ideally the suggestions should be offered when asked, for all parts of an essay.",7,7,7,7,85,7,
9/5/2021 8:04:02,A2W121DQXNQK1,4c9727b380f34b5baa3d4407f8d91656,Yes,You are absolutely certain about your qualification.,7,7,1,7,7,7,"I received some suggestions that were good mixes of potential additions to previous sentences, while also some that made new information. I think in the context of this topic, it would be good if the suggestions offered by the system were statistical or more informative,  giving me info that I could use to support my position regarding the topic. This info can be statistical or even a quote, along with some citation (i.e author,article, or book name).",7,7,7,7,75,7,
9/5/2021 9:08:07,A2W121DQXNQK1,c2395534dfb74c8ab70eec8f139ed2bc,Yes,You are absolutely certain about your qualification.,7,7,1,7,7,6,"The suggestions at times given by the system made different conclusions that I was trying to make, based on how the previous sentence ended. I think the system should refrain from changing the stance or position on the topic I am writing about, instead focusing on supporting the already listed position before suggesting an alternative. In addition, the system suggested experiences that weren't relevant to my essay, as they were not my own or what personally occurred to me when I was writing about it.",7,7,7,7,70,7,
8/21/2021 18:17:23,A2WGW5Y3ZFBDEC,232312a7bc284724b78c9c71c2b90afa,Yes,You are absolutely certain about your qualification.,6,1,7,3,4,5,"Several times I tried to get it to elaborate on a sentence I'd just written; instead it tended to just restate things. It's worse here than in creative writing, because it doesn't really forward arguments, it just goes around in circles, using different words, which works sometimes with short stories, but just kind of takes up space here, which I guess is one approach to persuasive essay writing.",3,5,6,5,69,1,No.
8/21/2021 18:48:59,A2WGW5Y3ZFBDEC,80624eb1f1d241e8b1fa4cdc70d43f0a,Yes,You are absolutely certain about your qualification.,5,1,7,1,1,4,"I can't think of specific examples; it's poor at forming logical arguments in general, it just restates things over and over again.",3,5,4,7,85,1,No.
8/21/2021 19:09:53,A2WGW5Y3ZFBDEC,fcf120025db5430b9ea948e735876591,Yes,You are absolutely certain about your qualification.,6,5,3,4,4,6,I can't think of any.,4,6,6,5,65,2,No.
8/21/2021 19:25:14,A2WGW5Y3ZFBDEC,91366311bd76400b9ea7efe17bf8b659,Yes,You are absolutely certain about your qualification.,6,5,5,4,4,5,I tried to get it to come up with conclusions for the essay without much luck.,4,5,6,4,50,3,No.
8/21/2021 19:38:02,A2WGW5Y3ZFBDEC,b24842bebbc045249f59a791912f491d,Yes,You are absolutely certain about your qualification.,5,5,4,4,4,5,I can't think of any.,4,5,5,4,54,3,No.
8/22/2021 23:21:42,A2WGW5Y3ZFBDEC,73a6d974745d4367bddb0059870a3e7e,Yes,You are absolutely certain about your qualification.,6,5,1,5,5,6,"I can't think of any, the suggestions for this were mostly good.",6,5,7,4,50,5,No.
8/23/2021 14:12:42,A2WGW5Y3ZFBDEC,15a3a2aac98e48af9335bbdb3611892d,Yes,You are absolutely certain about your qualification.,5,5,3,5,4,6,"I can't think of any specific suggestions, but in general I'm finding that, contrary to my first impression, the AI is much better at writing these essays than it is at writing creative stories, since they involve following a simpler train of thought.",5,5,7,4,55,4,No.
8/23/2021 14:37:18,A2WGW5Y3ZFBDEC,53c9ba115f4e464da26ee9dfc9b8daf8,Yes,You are absolutely certain about your qualification.,5,3,5,3,3,5,I can't think of any.,5,5,6,5,59,4,No.
8/23/2021 15:03:22,A2WGW5Y3ZFBDEC,f6f47e11cd064b9a9e1647878516be9e,Yes,You are absolutely certain about your qualification.,5,4,5,4,3,4,I can't think of any.,4,3,5,6,65,3,No.
8/23/2021 15:24:32,A2WGW5Y3ZFBDEC,beb2455e6a514e41a535aa51532f3d1f,Yes,You are absolutely certain about your qualification.,6,3,6,3,3,4,I can't think of any.,3,5,4,6,70,1,No.
8/23/2021 15:58:26,A2WGW5Y3ZFBDEC,8d93814aa76841fbb5fc1fbf3fc24a4a,Yes,You are absolutely certain about your qualification.,5,2,5,3,3,4,I can't think of any.,4,5,5,6,65,2,No.
8/23/2021 16:21:34,A2WGW5Y3ZFBDEC,09770cd9061f456fa6d82db00b43a0bd,Yes,You are absolutely certain about your qualification.,4,1,7,3,2,4,"I tried to get it to come up with examples of stereotypical characters, but it wouldn't do that at all.",1,1,4,4,55,1,No.
8/23/2021 17:13:16,A2WGW5Y3ZFBDEC,68fd27f0d07a4a319c9f931331f16e2d,Yes,You are absolutely certain about your qualification.,5,1,7,1,1,3,"I tried to get it to write something at the ending but it didn't understand the comparison I was making, so I had to write the closing myself.",3,3,4,6,75,1,No.
8/23/2021 17:50:46,A2WGW5Y3ZFBDEC,2b26596dffdc4403b160b0e12bc5daa9,Yes,You are absolutely certain about your qualification.,6,3,5,3,3,5,I can't think of any.,5,4,7,6,65,2,No.
8/23/2021 18:21:52,A2WGW5Y3ZFBDEC,4e68d0c88bed4e0f8b977ed56123b626,Yes,You are absolutely certain about your qualification.,6,2,5,3,3,4,"In one instance I was listing the pros of something, and trying to get it to come up with a con, but it just kept repeating things I'd already written.",3,4,4,5,60,1,No.
8/23/2021 18:45:07,A2WGW5Y3ZFBDEC,ae3d56d704a74f80827bbc54d685bfc2,Yes,You are absolutely certain about your qualification.,5,1,7,3,3,4,I can't think of any.,3,3,4,5,54,1,No.
8/23/2021 19:19:18,A2WGW5Y3ZFBDEC,3e1e3f82426c4b5682b3b315908dd8f8,Yes,You are absolutely certain about your qualification.,6,2,6,3,3,5,"I can't think of any, it didn't come up with good ideas, but it was able to follow mine this time.",6,6,7,6,65,4,No.
8/23/2021 19:56:27,A2WGW5Y3ZFBDEC,477a7999cb944914ba1a1141db81b44f,Yes,You are absolutely certain about your qualification.,5,5,3,4,4,7,I can't think of any.,6,5,7,5,60,4,No.
8/23/2021 20:40:48,A2WGW5Y3ZFBDEC,69b4d60dbea24e83a939dbef50497919,Yes,You are absolutely certain about your qualification.,6,1,6,3,3,5,I can't think of any.,5,3,4,5,55,2,No.
8/23/2021 22:23:02,A2WGW5Y3ZFBDEC,f579d31e1bee4c75826e8a5f24a0f25f,Yes,You are absolutely certain about your qualification.,5,4,3,4,4,6,I can't think of any.,6,5,7,6,60,4,No.
8/23/2021 22:43:22,A2WGW5Y3ZFBDEC,47f1f3cedf5e4a779470a1816fd625dc,Yes,You are absolutely certain about your qualification.,6,3,5,3,3,5,"It struggled horribly when I would provide a discipline, and ask it to suggest examples of how that was useful to students.",5,4,7,5,55,3,No.
8/23/2021 23:06:40,A2WGW5Y3ZFBDEC,7be4ecb3af5340b39c4f0d3ba63be068,Yes,You are absolutely certain about your qualification.,5,1,7,4,3,5,I can't think of any for this one.,5,1,4,3,45,3,No.
8/24/2021 14:52:52,A2WGW5Y3ZFBDEC,e154ac86120c4521b5355141a96706e8,Yes,You are absolutely certain about your qualification.,5,3,5,3,3,6,I can't think of any.,5,5,6,5,55,3,No.
8/24/2021 15:33:42,A2WGW5Y3ZFBDEC,e09efe9c9d194f2890fdfb149d29b393,Yes,You are absolutely certain about your qualification.,5,1,7,1,1,3,"I tried to get it to make suggestions about tying periods to gender equity and revolution, but it seemed unable to make that connection.",3,4,4,7,80,1,No.
8/25/2021 13:48:34,A2WGW5Y3ZFBDEC,b6683afb932a48dbaa3ba337f1ee1db1,Yes,You are absolutely certain about your qualification.,4,1,3,4,4,6,I can't think of any.,6,4,6,4,50,4,No.
8/25/2021 14:09:46,A2WGW5Y3ZFBDEC,4942e7f2ab484c3291c91473fbc22b5e,Yes,You are absolutely certain about your qualification.,5,6,4,4,4,4,"Towards the end I tried prompting it for conclusions, but kept getting the 'no suggestions found' message.",5,2,5,5,60,3,No.
8/29/2021 23:55:16,A2WGW5Y3ZFBDEC,abe2312cebab43598d4c4f6a2de6a6be,Yes,You are absolutely certain about your qualification.,6,3,6,4,4,5,"Well, at one point I was trying to elaborate on the notion that animals should be prioritized over humans, and it kept suggesting I ask 'Is it wrong to eat meat?' which didn't fit the context of the essay at all. It should have discarded that, but that was the only suggestion it would give me until I wrote more, it kept repeating it.",5,4,7,3,40,3,No.
8/31/2021 20:46:34,A2WGW5Y3ZFBDEC,b2c98830d3e647fa840909e7436c1750,Yes,You are absolutely certain about your qualification.,6,2,4,3,3,5,"I was having trouble getting it generate an ending, it just repeated stuff from earlier in the essay.",5,5,7,6,65,3,No.
8/31/2021 21:12:38,A2WGW5Y3ZFBDEC,69655d09325f45e6bc4dbe10afdad674,Yes,You are absolutely certain about your qualification.,4,1,7,2,2,3,I can't think of any.,3,3,4,7,80,1,No.
8/31/2021 22:04:05,A2WGW5Y3ZFBDEC,9ec10cba9d8c48428d656fceff57e834 ,Yes,You are absolutely certain about your qualification.,5,5,3,4,4,6,I can't think of any.,6,6,7,6,65,4,No.
8/31/2021 22:40:50,A2WGW5Y3ZFBDEC,549faa4663e44ffbb3f26beca1bf95bb,Yes,You are absolutely certain about your qualification.,6,5,3,4,3,6,I can't think of any.,6,5,7,4,55,4,No.
9/1/2021 0:37:59,A2WGW5Y3ZFBDEC,92d3272c14f94dc3b174d21b5592e417,Yes,You are absolutely certain about your qualification.,5,1,7,2,2,4,"In this case, I was trying to finish the essay, and prompting it for examples of stereotypes in modern fiction, and it came up with identical suggestions to ones it had given, and I had used, early on. It seems bad in general about coming up with examples of stereotypes, it's been pretty bad about that every time I've seen this prompt.",3,3,5,6,75,1,No.
9/2/2021 3:04:05,A2WGW5Y3ZFBDEC,6d0dc9355f9c4e0aa729c19733f3e3fd,Yes,You are absolutely certain about your qualification.,5,4,7,3,3,4,"Once again, when I tried to prompt it for examples of stereotypes in fiction, it came up blank.",4,3,5,3,50,1,No.
9/3/2021 3:12:16,A2WGW5Y3ZFBDEC,b43804135b264aaf84c129e2f6c5be48,Yes,You are absolutely certain about your qualification.,5,5,4,4,3,6,"I can't think of any, in fact it gave me many good suggestions about ways the news might relate to specific situations.",5,4,6,3,50,4,No.
9/4/2021 1:35:35,A2WGW5Y3ZFBDEC,bb00c5e393af4908b576fa3a86b6fd01,Yes,You are absolutely certain about your qualification.,5,5,4,3,3,6,I can't think of any.,6,3,6,3,50,4,No.
9/4/2021 1:54:16,A2WGW5Y3ZFBDEC,2cfe49a1dfd84b57852a6a2d6e9b538c,Yes,You are absolutely certain about your qualification.,5,1,5,3,3,5,"When I tried to get it to suggest specific examples to support points I had already made, like 'schools should teach students a trade' it ended up just repeating the points instead of adding substance to them.",5,3,5,4,55,3,No.
8/20/2021 16:27:36,A2YTQDLACTLIBA,ec89045037c142869afb5fad66c0c912,Yes,You are absolutely certain about your qualification.,7,3,1,4,4,4,AI was somewhat lacking in this essay,7,7,7,7,85,7,
8/20/2021 16:55:14,A2YTQDLACTLIBA, f5258cb106194b4ea243d3842e00b667,Yes,You are absolutely certain about your qualification.,7,5,1,5,5,6,It does better at other prompts,7,7,7,5,70,7,
8/20/2021 17:08:46,A2YTQDLACTLIBA,f5649183e4c24bd785459406069e0530,Yes,You are absolutely certain about your qualification.,7,5,1,5,7,5,this is not AI's forte,7,7,7,6,70,7,
8/21/2021 10:14:40,A2YTQDLACTLIBA,85ee6ffba76749fb8e6f066683b0a56a,Yes,You are absolutely certain about your qualification.,7,7,1,7,7,7,very good suggestions,7,7,7,4,50,7,
8/23/2021 7:26:07,A2YTQDLACTLIBA,5e3161b439134fb992482c957f30f78c,Yes,You are absolutely certain about your qualification.,7,7,1,7,7,7,AI was very helpful this time around,7,7,7,4,60,7,
8/23/2021 7:40:14,A2YTQDLACTLIBA,5ce9377e21734670be93606815ca2bc5,Yes,You are absolutely certain about your qualification.,7,7,1,7,7,7,There should have been greater variety and they should have been meatier,7,7,7,5,70,7,
8/23/2021 7:54:31,A2YTQDLACTLIBA,e1f3635407a34cada54aafa852bcb52d,Yes,You are absolutely certain about your qualification.,7,7,1,7,7,7,The AI was a bit limited in this topic,7,7,7,6,70,7,
8/23/2021 8:11:00,A2YTQDLACTLIBA,2098ac5fee1e439ba40f9f63c679835e ,Yes,You are absolutely certain about your qualification.,7,7,1,7,7,7,very good suggestions,7,7,7,4,60,7,
8/23/2021 10:18:46,A2YTQDLACTLIBA,7f7612ebfa1544d6b25fbbb53a49a5ae,Yes,You are absolutely certain about your qualification.,7,6,1,6,7,7,There could have been more suggestions it seemed to run dry,7,7,7,5,65,7,
8/25/2021 18:44:33,A324VBRLXHG5IB,76994249d6114936b74be6fa7a79e79b,Yes,You are fairly confident in your qualification.,6,4,4,3,3,2,"I was given several blank list of options and also several very long suggestions with linked sources, both were awkward but also made me paranoid about taking too long to read and not writing.",7,7,7,7,96,7,
8/25/2021 19:05:22,A324VBRLXHG5IB,cc85690dead449a393defdea082229c8,Yes,"You are confident in your qualification, but not absolutely certain.",6,7,2,7,7,7,I didn't want to write about political or covid issues and the suggestions I got focused more on smaller scale current events that made me think more of my school district then the world as a whole. There were very good suggestions that kept me moving fluidly.,6,7,7,4,60,7,
8/31/2021 18:15:23,A324VBRLXHG5IB,2160426dc41f493dae05e8ca84ae5a1f ,Yes,"You are confident in your qualification, but not absolutely certain.",6,3,6,3,3,3,The question was about a tv/book stereotype but the suggestions were mostly about publishing a book or watching a commercial. They just didn't work well this time.,4,5,5,7,70,7,
9/4/2021 9:56:30,A345TDMHP3DQ3G,3657ba7cb1a14cc6835c24d68176c42b,Yes,You are fairly confident in your qualification.,7,6,4,7,7,6,The suggestions I received weren't as specific as I would have wanted at times. ,7,7,7,7,25,6,
9/4/2021 10:08:35,A345TDMHP3DQ3G,b15c9dc0bbc1415dad0b1339d32903dd,Yes,You are fairly confident in your qualification.,7,7,4,7,7,7,I wanted some of the suggestions to be more specific than they actually were.,7,4,7,7,30,7,
9/4/2021 10:20:46,A345TDMHP3DQ3G,7b3d6b7a25a94d4f85060bbee5dd4682,Yes,You are absolutely certain about your qualification.,7,7,4,7,7,7,Some suggestions were a bit too vague and I wanted more details and specifics. ,7,4,7,7,30,7,
9/4/2021 10:39:18,A345TDMHP3DQ3G,5fc3814b137b410cab4a738f50e91ad8,Yes,"You are confident in your qualification, but not absolutely certain.",7,7,4,7,7,7,Some of the suggestions kept taking me back to the Madonna example which I felt was unnecessary. ,7,7,7,4,30,7,
9/4/2021 10:53:07,A345TDMHP3DQ3G,08b1a2012f4d4115b56cc8231449ff48,Yes,You are fairly confident in your qualification.,6,7,4,7,7,7,Some of the suggestions I was given took a more humorous tone than I wanted for an academic persuasive article. ,7,7,7,4,30,7,
9/4/2021 11:07:11,A345TDMHP3DQ3G,8a89fb0e060a42658033820f12a115d3,Yes,"You are confident in your qualification, but not absolutely certain.",6,7,4,7,7,7,I wasn't sure how accurate some of the suggestions were (do college athletes really get stipends they can spend however they want?),7,7,7,4,30,7,
9/4/2021 11:21:17,A345TDMHP3DQ3G,2b2239b180604f018998fa272576c828,Yes,You are fairly confident in your qualification.,6,6,4,7,7,7,I felt like the suggestions I got were WAY too redundant and that the AI wasn't capable of really pushing the argument forward beyond repetition. ,7,4,6,4,50,6,
9/4/2021 11:34:43,A345TDMHP3DQ3G,ada1c4b3f99847d9907e77dd96200ed9,Yes,You are fairly confident in your qualification.,6,6,4,7,7,6,I wanted some of the suggestions to be more detailed and provide more specifics than they actually did.,7,5,6,6,30,6,
9/4/2021 11:50:06,A345TDMHP3DQ3G,55c68fe2661343d4b1ab43ba95db5c09,Yes,You are fairly confident in your qualification.,6,6,4,6,6,6,Some of the suggestions that I got were a little bit too circular to really push the argument forward. ,7,6,6,5,35,6,
9/4/2021 12:34:30,A345TDMHP3DQ3G,d38b7aa16b1d49588816249785db335a,Yes,You are fairly confident in your qualification.,5,6,4,6,6,7,I felt some of the suggestions were just a bit too generic and weren't specific to the direction I was taking my story in.,6,4,6,6,35,6,
9/4/2021 12:45:49,A345TDMHP3DQ3G,22fb1316d9cd447ab4a36bff209e7e66,Yes,You are fairly confident in your qualification.,6,4,4,6,6,5,I was never able to give any personal examples as the AI suggestions kept coming up with generic ones. ,6,6,4,6,35,6,
9/4/2021 12:59:29,A345TDMHP3DQ3G,da72913a2d764538a71c9607212b148c,Yes,You are absolutely certain about your qualification.,6,5,4,7,6,6,Some suggestions that I got just clearly didn't have the right math. I wanted to calculate some numbers and the numbers were way too far fetched.,6,5,5,4,35,5,
9/4/2021 17:43:43,A345TDMHP3DQ3G,23b5950573434bfeb67e045c39c17d50,Yes,You are fairly confident in your qualification.,6,6,7,6,5,6,I thought some of the suggestions were a little bit circular and just repeated over and over again that extreme mountain climbing was a sport...,6,5,6,4,35,6,
9/4/2021 17:55:06,A345TDMHP3DQ3G,b27f544a5f6e4989aa95af488cfeaadb,Yes,You are fairly confident in your qualification.,6,5,4,5,6,6,I wasn't sure about how accurate the suggestions about the law and the Hicks Memo were.,6,6,7,5,35,6,
9/4/2021 21:09:39,A345TDMHP3DQ3G,65fc0e4f41cb4ca0b92af3a161da5d2b,Yes,You are fairly confident in your qualification.,6,4,4,6,6,7,Some suggestions were way too hung up on the hostess point when I wanted to move off from that subject. ,6,4,4,5,35,6,
9/4/2021 21:27:46,A345TDMHP3DQ3G,5300d0e4c21f40538eb8a2ec41b55124,Yes,You are fairly confident in your qualification.,6,4,4,5,6,6,Some of the suggestions I got were overly redundant and just kept repeating that screen time should be limited without getting into the reasons why.,6,4,5,5,40,5,
9/4/2021 21:40:33,A345TDMHP3DQ3G,cac1461058604a49824731779448358d,Yes,You are fairly confident in your qualification.,5,4,4,6,6,7,When I opened a new paragraph I wanted to pivot to a new topic but the suggestions were still mired in the topic of the previous paragraph,6,4,6,5,35,6,
9/4/2021 21:53:39,A345TDMHP3DQ3G,4398673bfcfd4ba388fb92f193fc582c,Yes,You are fairly confident in your qualification.,5,4,6,7,6,6,I didn't really feel I could trust the suggestion's math calculation how much money tuition was over 4 years.,6,4,6,6,45,6,
9/5/2021 16:48:57,A345TDMHP3DQ3G,47f742905ea748d3b71bcd2c5684a654,Yes,You are fairly confident in your qualification.,6,3,4,5,4,5,Some of the suggestions were way too redundant; I didn't want to say for the 50th time that the most important thing to learn is independence. ,4,2,4,4,35,4,
9/5/2021 17:03:48,A345TDMHP3DQ3G,2d584bbdb1634b0a91a0d271594d122a,Yes,You are fairly confident in your qualification.,4,4,5,4,3,4,Suggestions were not sophisticated enough to start new arguments or introduce new points. ,4,3,4,4,40,4,
9/5/2021 17:20:03,A345TDMHP3DQ3G,0bad9cbc52854c13a1b982195f7face2,Yes,You are fairly confident in your qualification.,4,4,5,4,5,4,"Some suggestions that I got were pretty circular, and didn't come off from the specific example I gave early enough.",4,4,5,4,45,4,
9/5/2021 17:32:59,A345TDMHP3DQ3G,41d8a6e73a1e4df588aebd0ad14d8da1,Yes,You are fairly confident in your qualification.,6,4,4,7,6,7,Some of the suggestions just sounded a bit too ignorant to me (and were sort of mansplaining at some point),5,5,4,5,40,6,
9/5/2021 17:49:11,A345TDMHP3DQ3G,759a22ce504c4259b8ea09651194bf46,Yes,You are fairly confident in your qualification.,5,6,4,5,5,6,Some of the suggestions felt like they got a bit too redundant since they just kept repeating that technology was a lifeline. ,5,4,5,4,35,6,
9/5/2021 18:15:42,A345TDMHP3DQ3G,d2ced3cd555148af9ee949675db2ab89,Yes,You are fairly confident in your qualification.,6,5,6,5,5,5,The suggestions that I received were too circular and repetitive; I kept getting the same language about selfies being insensitive. ,4,4,5,4,35,4,
8/26/2021 4:26:55,A377LTGWJKY2IW ,8e68479f14394dce8f30aaad91524538,Yes,"You are confident in your qualification, but not absolutely certain.",7,5,2,6,5,7,"Sometimes I received the same suggestions several times, I would have rather had a bit more variety. ",6,5,6,6,85,6,
8/29/2021 7:54:01,A377LTGWJKY2IW ,38e1a33885914802a41a324e7a6d146b,Yes,You are absolutely certain about your qualification.,7,5,1,7,7,7,A couple of times I wish I had received a few more suggestions. But I thought the suggestions were mostly excellent.,7,6,7,6,80,6,"Thanks, I enjoyed this."
8/29/2021 8:08:28,A377LTGWJKY2IW ,cb02390d4b60449da399e645b91440d4,Yes,You are absolutely certain about your qualification.,6,3,4,4,4,6,I felt like the system did not give me enough different ideas. It seemed like it was just repeating the same ideas. At times it also only gave me one suggestion. ,5,5,6,7,90,5,
8/26/2021 5:16:40,A3DS5B06ZCD3E3,9693af5c800e4c39bb42198f8ab19c96,Yes,"You are confident in your qualification, but not absolutely certain.",5,5,4,4,5,6,It only gave a few examples. I went to use the AI a few times after the first two times and it kept  telling me it had no suggestions. So I basically stopped using it.,4,6,7,7,90,6,System needs to give more suggestions or give suggestions further into the essay.
8/26/2021 5:30:35,A3DS5B06ZCD3E3,8b886d12eeb14f21b8bc96c5a1215336,Yes,You are absolutely certain about your qualification.,7,7,3,6,6,7,Nothing really. The system had some really good suggestions that helped me with my writing. It ran out of suggestions at the end though.,6,7,7,7,80,7,Once again the system seemed to run out of suggestions toward the end of the essay.
8/19/2021 4:30:04,A3DUPRZSMU9W5R,25ffdce6009a47f08c72347a283d256e,Yes,You are absolutely certain about your qualification.,4,2,4,2,2,2,"After about two paragraphs, the AI was no longer able to follow my thoughts. I kept getting a message about no suggestions every time I would it tab",2,5,2,7,95,2,
8/19/2021 4:42:22,A3DUPRZSMU9W5R,9d08c8ebec4c4e4fbd01d2a918b8f5f6,Yes,"You are confident in your qualification, but not absolutely certain.",3,1,5,2,2,2,"Again, I had the issue that the AI stopped providing ideas after a couple of paragraphs. Also it seemed to provide the same sentences to choose from time after time.",2,4,1,7,90,1,
8/20/2021 3:57:20,A3DUPRZSMU9W5R,024f6a5d399545ceb4e9482fe575aa51,Yes,You are fairly confident in your qualification.,5,4,1,5,4,7,"The AI helped continue my dialogue, not necessarily providing new ideas, but promoting the ones I already had.",5,4,5,7,85,5,
8/20/2021 4:19:42,A3DUPRZSMU9W5R,b609372842a94db2b278d4ad7f7e366b,Yes,You are fairly confident in your qualification.,3,2,4,2,2,4,"I was frustrated with my essay and that fell over into my frustration with the AI. After I had run out of ideas or ways to continue, the AI didn't have any further suggestion. IT was annoying",2,2,4,6,85,2,
